matrix,threads,mode,chunkSize,time
0,1,-1,-1,0.0374341
0,2,0,1,0.0253811
0,2,0,10,0.0184541
0,2,0,100,0.0153379
0,2,0,1000,0.0150301
0,2,1,1,0.035326
0,2,1,10,0.0205369
0,2,1,100,0.0171261
0,2,1,1000,0.0149939
0,2,2,1,0.015554
0,2,2,10,0.015275
0,2,2,100,0.0155821
0,2,2,1000,0.0178809
0,4,0,1,0.0167201
0,4,0,10,0.010165
0,4,0,100,0.00807309
0,4,0,1000,0.00753999
0,4,1,1,0.0247431
0,4,1,10,0.0111692
0,4,1,100,0.00815105
0,4,1,1000,0.00744224
0,4,2,1,0.00794911
0,4,2,10,0.00806689
0,4,2,100,0.00836587
0,4,2,1000,0.00788689
0,8,0,1,0.0109179
0,8,0,10,0.00489092
0,8,0,100,0.00449395
0,8,0,1000,0.00502491
0,8,1,1,0.020349
0,8,1,10,0.00591898
0,8,1,100,0.00408697
0,8,1,1000,0.00390005
0,8,2,1,0.004076
0,8,2,10,0.00552392
0,8,2,100,0.00699782
0,8,2,1000,0.00475693
0,16,0,1,0.00798988
0,16,0,10,0.002599
0,16,0,100,0.00338101
0,16,0,1000,0.00202417
0,16,1,1,0.0159979
0,16,1,10,0.00330281
0,16,1,100,0.00208306
0,16,1,1000,0.00202203
0,16,2,1,0.00197721
0,16,2,10,0.00195193
0,16,2,100,0.0028429
0,16,2,1000,0.00212502
0,32,0,1,0.00416613
0,32,0,10,0.00167108
0,32,0,100,0.00185704
0,32,0,1000,0.00128508
0,32,1,1,0.0128739
0,32,1,10,0.00194311
0,32,1,100,0.00148892
0,32,1,1000,0.001477
0,32,2,1,0.001194
0,32,2,10,0.00118804
0,32,2,100,0.0013411
0,32,2,1000,0.001333
0,64,0,1,0.00223994
0,64,0,10,0.00113511
0,64,0,100,0.00158191
0,64,0,1000,0.000803947
0,64,1,1,0.0107539
0,64,1,10,0.001683
0,64,1,100,0.00133801
0,64,1,1000,0.00119185
0,64,2,1,0.00103784
0,64,2,10,0.00100589
0,64,2,100,0.00102377
0,64,2,1000,0.00109315
1,1,-1,-1,0.018363
1,2,0,1,0.00859189
1,2,0,10,0.00745487
1,2,0,100,0.007447
1,2,0,1000,0.007967
1,2,1,1,0.00868297
1,2,1,10,0.00745201
1,2,1,100,0.00761008
1,2,1,1000,0.00791597
1,2,2,1,0.00735307
1,2,2,10,0.00735903
1,2,2,100,0.00805688
1,2,2,1000,0.00790095
1,4,0,1,0.006495
1,4,0,10,0.00580287
1,4,0,100,0.00495481
1,4,0,1000,0.00474811
1,4,1,1,0.00677609
1,4,1,10,0.00409913
1,4,1,100,0.0046351
1,4,1,1000,0.004673
