matrix,processes,max_communication(ms),max_computation(ms),total_time(ms),gflops,min_non_zero_values,max_non_zero_values,avg_non_zero_values,min_ghost_entries,max_ghost_entries,avg_ghost_entries
_st0,1,0.00286102,24.781,24.7838,0.660598,8185136,8185136,8.18514e+06,0,0,0
_st0,2,0.695944,12.073,12.769,1.36635,4092490,4092646,4.09257e+06,80535,80535,80535
_st0,4,0.921965,5.92017,6.84214,2.76706,2046219,2046394,2.04628e+06,120615,120625,120621
_st0,8,1.03307,3.06797,4.10104,5.34459,1023094,1023241,1.02314e+06,132049,132146,132096
_st0,16,1.11389,1.66607,2.77996,10.2115,511519,511638,511571,133441,133520,133495
_st0,32,0.922203,0.89407,1.81627,18.3932,255710,255860,255786,133496,133583,133547
_st0,64,1.24598,0.941992,2.18797,18.8839,127808,127962,127893,108712,108893,108802
_st0,128,12.115,1.09982,13.2148,32.3572,63779,64124,63946.4,58846,59194,59006.3
_st1,1,0.0038147,13.4001,13.4039,0.656159,4396289,4396289,4.39629e+06,0,0,0
_st1,2,0.0472069,6.26206,6.30927,1.40839,2198130,2198159,2.19814e+06,5047,5050,5048.5
_st1,4,0.254869,3.3381,3.59297,2.63401,1099064,1099081,1.09907e+06,9620,9629,9625.5
_st1,8,0.178814,1.67704,1.85585,5.56492,549252,549812,549536,11603,11636,11619.4
_st1,16,0.113964,0.872135,0.986099,10.5068,274605,275159,274768,10291,10345,10321.3
_st1,32,0.11301,0.458002,0.571012,19.5332,137041,137604,137384,9594,9647,9616.38
_st1,64,0.164032,0.236034,0.400066,38.9016,68263,68811,68692,9217,9255,9235.06
_st1,128,4.41003,1.261,5.67102,76.5119,34120,34663,34346,9020,9065,9039
_st2,1,0.00190735,5.46408,5.46598,0.701363,1916152,1916152,1.91615e+06,0,0,0
_st2,2,0.13113,4.19402,4.32515,0.920346,954914,961238,958076,10472,10705,10588.5
_st2,4,0.12207,2.15983,2.2819,1.79757,471166,485367,479038,12881,13431,13144.2
_st2,8,0.144005,0.983,1.127,3.90237,233383,247530,239519,12241,12716,12489.8
_st2,16,0.123978,0.482082,0.60606,8.5182,114910,124806,119760,11106,11770,11379.4
_st2,32,0.144005,0.240088,0.384092,18.6905,52806,67318,59879.8,9339,10867,10287.9
_st2,64,0.178099,0.119925,0.298023,35.1725,25161,36352,29939.9,7211,9521,8544.81
_st2,128,4.61221,1.16992,5.78213,67.2546,10762,19298,14969.9,4600,7464,6117.47
_st3,1,0.00119209,3.19004,3.19123,0.687733,1096948,1096948,1.09695e+06,0,0,0
_st3,2,0.0708103,1.90401,1.97482,1.15225,547967,548981,548474,8307,8307,8307
_st3,4,0.10705,1.09506,1.20211,2.08187,273837,274698,274237,12460,12461,12460.5
_st3,8,0.124931,0.589132,0.714064,3.92571,136870,137407,137118,14522,14528,14524.9
_st3,16,0.115871,0.276804,0.392675,8.15768,68287,68794,68559.2,15270,15308,15285.9
_st3,32,0.132084,0.136137,0.268221,16.2577,34051,34492,34279.6,14682,14826,14749.8
_st3,64,0.192165,0.0691414,0.261307,35.9448,16883,17390,17139.8,11247,11522,11381.5
_st3,128,4.81105,1.42694,6.23798,64.3487,8371,8829,8569.91,6718,6938,6830.1
_st4,1,0.000953674,1.616,1.61695,0.63499,513072,513072,513072,0,0,0
_st4,2,0.424862,1.06597,1.49083,0.962639,255426,257646,256536,51933,52133,52033
_st4,4,0.566959,0.619173,1.18613,1.65728,125293,132353,128268,59217,61191,59985.8
_st4,8,0.277996,0.320911,0.598907,3.37565,62511,66223,64134,37159,39776,38081.9
_st4,16,0.149965,0.156879,0.306845,6.88634,31056,33801,32067,20797,23119,21599.4
_st4,32,0.11301,0.0731945,0.186205,14.4914,15463,17356,16033.5,10981,12806,11556
_st4,64,0.115156,0.0391006,0.154257,30.9637,7623,9209,8016.75,5648,7153,6006.8
_st4,128,3.88503,0.893831,4.77886,56.6311,3752,5312,4008.38,2822,4345,3067.24
