matrix,threads,mode,chunkSize,cycles,instructions,cache-references,cache-misses,LLC-loads,LLC-load-misses
0,1,-1,-1,11512696978,28063189783,4176989,1724988,21126,9700
0,2,0,1,11496248064,27928072922,5867998,3261120,99623,58794
0,2,0,10,11485937038,27916514129,4687014,2497015,60550,49157
0,2,0,100,11442372206,27915366823,4262863,1871854,28533,15337
0,2,0,1000,11433137986,27915257265,4303562,1780682,19746,10350
0,2,1,1,11639225295,27921879860,6176602,3544313,241201,171481
0,2,1,10,11479160406,27915760074,4687746,2565107,81508,70805
0,2,1,100,11442798141,27915158059,4413813,1774992,29317,17470
0,2,1,1000,11437489448,27915100468,4380946,1728496,21289,11515
0,2,2,1,11435959663,27915096980,4238106,1636464,18541,9885
0,2,2,10,11442408612,27915092517,4343403,1626272,19964,9488
0,2,2,100,11444463035,27915486139,4195062,1511563,20723,9702
0,2,2,1000,11437180179,27915098423,4339227,1636485,18771,9773
0,4,0,1,11630435250,27930037253,7435527,4841378,353638,306995
0,4,0,10,11505437014,27917310861,4838615,2598909,67630,55059
0,4,0,100,11484612821,27915888851,4267465,1950816,37835,25774
0,4,0,1000,11465955983,27915708024,4179827,1846345,22456,12270
0,4,1,1,11970836863,27922232356,8101898,5660251,582349,505521
0,4,1,10,11515866628,27916177949,4965231,2764255,103720,88731
0,4,1,100,11491425858,27915527167,4407136,1895054,36940,24566
0,4,1,1000,11471884602,27915494636,4341990,1733882,23114,12782
0,4,2,1,11457629572,27915758763,4267165,1348024,19961,10614
0,4,2,10,11473977115,27916429796,4349932,1322985,20348,10421
0,4,2,100,11450868334,27915981789,4330768,1347293,20381,10586
0,4,2,1000,11464702014,27916502473,4318092,1326768,20497,10118
0,8,0,1,11720863392,27929479448,7614300,4008875,410968,299862
0,8,0,10,11563665600,27918030718,5049247,2499038,94423,61605
0,8,0,100,11524090031,27916760903,4441733,1927155,42746,21732
0,8,0,1000,11542233056,27917006040,4233267,1820067,26928,13325
0,8,1,1,12343199923,27922845517,8454145,4807032,840410,475900
0,8,1,10,11582760327,27916847962,5134693,2539536,129044,82363
0,8,1,100,11531232074,27916238133,4398376,1904574,42685,23755
0,8,1,1000,11496926742,27916278928,4310637,1733619,26990,13477
0,8,2,1,11513192017,27918300640,4293531,1319533,22420,11575
0,8,2,10,11481125020,27917072790,4195956,1288755,21512,10703
0,8,2,100,11486155236,27917107707,4245128,1338877,21290,11047
0,8,2,1000,11490969977,27917444208,4263896,1297346,21334,10690
0,16,0,1,11937718240,27933420021,5727595,2936540,516754,396286
0,16,0,10,11789414587,27919687821,5286578,2514272,123992,66647
0,16,0,100,11688983514,27920673767,4455813,1947317,48671,21473
0,16,0,1000,11620478670,27920380174,4236843,1803458,29055,13309
0,16,1,1,13023676088,27924643261,7398358,3699858,1014705,477353
0,16,1,10,11762441926,27918533996,5314992,2490119,178393,84889
0,16,1,100,11711550142,27917915119,4435815,1919516,52922,25550
0,16,1,1000,11656945912,27918012319,4227983,1735639,31462,14067
0,16,2,1,11584590039,27918578903,4249994,1466033,28112,12253
0,16,2,10,11597987157,27918714728,4213148,1436691,27797,12157
0,16,2,100,11647236096,27922286005,4218567,1430584,27648,12104
0,16,2,1000,11735894750,27925557069,4181703,1437130,26914,12274
0,32,0,1,12454551408,27937472417,6039257,2885069,669041,440223
0,32,0,10,12102777832,27930207130,5295936,2448843,142301,65852
0,32,0,100,11966085356,27927795537,4453338,1927212,55849,23065
0,32,0,1000,12021641685,27935557683,4187464,1741453,36266,14490
0,32,1,1,14184341861,27929238929,7430968,3254287,1204710,462708
0,32,1,10,12147813410,27923406403,5433755,2396048,223831,87572
0,32,1,100,11936075137,27922381643,4455345,1903572,58776,25514
0,32,1,1000,11927869855,27927580693,4289119,1779856,37799,14975
0,32,2,1,12315687508,27942486013,4262601,1665322,38357,14937
0,32,2,10,12426592533,27945410253,4252856,1688057,38502,15172
0,32,2,100,12236654211,27938784673,4259268,1677085,34900,14267
0,32,2,1000,12277320771,27939855970,4254445,1718862,33561,13523
0,64,0,1,15629694839,28063407773,6800589,2688942,834402,405219
0,64,0,10,14409684211,28033359317,5343247,2386196,152013,63368
0,64,0,100,15353189958,28092087794,4440460,1890617,61841,22968
0,64,0,1000,16370462666,28136646311,4214504,1765003,42656,15088
0,64,1,1,17484581285,28004468729,8155608,3158890,1401086,447602
0,64,1,10,13764858758,27985520626,5465328,2316367,256213,89322
0,64,1,100,13513113649,28002640809,4414837,1869902,64123,24678
0,64,1,1000,13826845291,28004881868,4313146,1797174,46738,15802
0,64,2,1,14483461718,28030736415,4409260,1812051,52322,17530
0,64,2,10,14545885527,28029583296,4362927,1810755,50952,16971
0,64,2,100,15651578440,28086399712,4323886,1828353,47478,17119
0,64,2,1000,14965502215,28059138506,4316269,1822800,42594,14660
1,1,-1,-1,6208399152,15333791296,2266099,829681,12969,6308
1,2,0,1,6201671858,15256289042,2462570,1261984,30656,22399
1,2,0,10,6229203209,15254883429,2238232,938232,15512,8607
