matrix 4
sequential: 0.00602293 seconds
2 threads | 0 mode | 1 chunkSize: 0.0156231 seconds
2 threads | 0 mode | 10 chunkSize: 0.0156279 seconds
2 threads | 0 mode | 100 chunkSize: 0.015625 seconds
2 threads | 0 mode | 1000 chunkSize: 0.0156209 seconds
2 threads | 1 mode | 1 chunkSize: 0.0156288 seconds
2 threads | 1 mode | 10 chunkSize: 0.0156229 seconds
2 threads | 1 mode | 100 chunkSize: 0.0059979 seconds
2 threads | 1 mode | 1000 chunkSize: 0.00409007 seconds
2 threads | 2 mode | 1 chunkSize: 0.015624 seconds
2 threads | 2 mode | 10 chunkSize: 0.015625 seconds
2 threads | 2 mode | 100 chunkSize: 0.0156231 seconds
2 threads | 2 mode | 1000 chunkSize: 0.015626 seconds
4 threads | 0 mode | 1 chunkSize: 0.015625 seconds
4 threads | 0 mode | 10 chunkSize: 0.015625 seconds
4 threads | 0 mode | 100 chunkSize: 0.00693607 seconds
4 threads | 0 mode | 1000 chunkSize: 0.015624 seconds
4 threads | 1 mode | 1 chunkSize: 0.01052 seconds
4 threads | 1 mode | 10 chunkSize: 0.00702381 seconds
4 threads | 1 mode | 100 chunkSize: 0.015626 seconds
4 threads | 1 mode | 1000 chunkSize: 0.0156031 seconds
4 threads | 2 mode | 1 chunkSize: 0.0156238 seconds
4 threads | 2 mode | 10 chunkSize: 0.015624 seconds
4 threads | 2 mode | 100 chunkSize: 0.015625 seconds
4 threads | 2 mode | 1000 chunkSize: 0.00656295 seconds
8 threads | 0 mode | 1 chunkSize: 0.0156269 seconds
8 threads | 0 mode | 10 chunkSize: 0.0156279 seconds
8 threads | 0 mode | 100 chunkSize: 0.0156219 seconds
8 threads | 0 mode | 1000 chunkSize: 0.00450802 seconds
8 threads | 1 mode | 1 chunkSize: 0.00799513 seconds
8 threads | 1 mode | 10 chunkSize: 0.00499916 seconds
8 threads | 1 mode | 100 chunkSize: 0.0156238 seconds
8 threads | 1 mode | 1000 chunkSize: 0.00399899 seconds
8 threads | 2 mode | 1 chunkSize: 0.00399804 seconds
8 threads | 2 mode | 10 chunkSize: 0.0156269 seconds
8 threads | 2 mode | 100 chunkSize: 0.00399709 seconds
8 threads | 2 mode | 1000 chunkSize: 0.00405407 seconds
16 threads | 0 mode | 1 chunkSize: 0.015626 seconds
16 threads | 0 mode | 10 chunkSize: 0.015624 seconds
16 threads | 0 mode | 100 chunkSize: 0.0156019 seconds
16 threads | 0 mode | 1000 chunkSize: 0.015624 seconds
16 threads | 1 mode | 1 chunkSize: 0.0156229 seconds
16 threads | 1 mode | 10 chunkSize: 0.0156028 seconds
16 threads | 1 mode | 100 chunkSize: 0.015624 seconds
16 threads | 1 mode | 1000 chunkSize: 0.0156231 seconds
16 threads | 2 mode | 1 chunkSize: 0 seconds
16 threads | 2 mode | 10 chunkSize: 0.015626 seconds
16 threads | 2 mode | 100 chunkSize: 0.0156031 seconds
16 threads | 2 mode | 1000 chunkSize: 0.0156 seconds
32 threads | 0 mode | 1 chunkSize: 0.015646 seconds
32 threads | 0 mode | 10 chunkSize: 0.00599599 seconds
32 threads | 0 mode | 100 chunkSize: 0.0156231 seconds
32 threads | 0 mode | 1000 chunkSize: 0 seconds
32 threads | 1 mode | 1 chunkSize: 0.015625 seconds
32 threads | 1 mode | 10 chunkSize: 0.00499988 seconds
32 threads | 1 mode | 100 chunkSize: 0.015624 seconds
32 threads | 1 mode | 1000 chunkSize: 0.015625 seconds
32 threads | 2 mode | 1 chunkSize: 0.015624 seconds
32 threads | 2 mode | 10 chunkSize: 0.0156288 seconds
32 threads | 2 mode | 100 chunkSize: 0.015625 seconds
32 threads | 2 mode | 1000 chunkSize: 0.00408697 seconds
64 threads | 0 mode | 1 chunkSize: 0.015625 seconds
64 threads | 0 mode | 10 chunkSize: 0.0156238 seconds
64 threads | 0 mode | 100 chunkSize: 0.0156229 seconds
64 threads | 0 mode | 1000 chunkSize: 0.015626 seconds
64 threads | 1 mode | 1 chunkSize: 0.0156269 seconds
64 threads | 1 mode | 10 chunkSize: 0.0156271 seconds
64 threads | 1 mode | 100 chunkSize: 0.00499892 seconds
64 threads | 1 mode | 1000 chunkSize: 0.0156221 seconds
64 threads | 2 mode | 1 chunkSize: 0.015624 seconds
64 threads | 2 mode | 10 chunkSize: 0.015626 seconds
64 threads | 2 mode | 100 chunkSize: 0.015624 seconds
64 threads | 2 mode | 1000 chunkSize: 0.00499701 seconds
