matrix | threads | mode | chunkSize | time
0 | 1 | -1 | -1 | 0.0407882
0 | 2 | 0 | 1 | 0.0197101
0 | 2 | 0 | 10 | 0.01757
0 | 2 | 0 | 100 | 0.0164859
0 | 2 | 0 | 1000 | 0.016237
0 | 2 | 1 | 1 | 0.026921
0 | 2 | 1 | 10 | 0.0184629
0 | 2 | 1 | 100 | 0.0164928
0 | 2 | 1 | 1000 | 0.016253
0 | 2 | 2 | 1 | 0.016166
0 | 2 | 2 | 10 | 0.0166309
0 | 2 | 2 | 100 | 0.016242
0 | 2 | 2 | 1000 | 0.0163939
0 | 4 | 0 | 1 | 0.017061
0 | 4 | 0 | 10 | 0.0114381
0 | 4 | 0 | 100 | 0.00956511
0 | 4 | 0 | 1000 | 0.00894904
0 | 4 | 1 | 1 | 0.03284
0 | 4 | 1 | 10 | 0.012727
0 | 4 | 1 | 100 | 0.00932312
0 | 4 | 1 | 1000 | 0.00891995
0 | 4 | 2 | 1 | 0.00882196
0 | 4 | 2 | 10 | 0.00877786
0 | 4 | 2 | 100 | 0.00880599
0 | 4 | 2 | 1000 | 0.00885892
0 | 8 | 0 | 1 | 0.012774
0 | 8 | 0 | 10 | 0.00662303
0 | 8 | 0 | 100 | 0.00527787
0 | 8 | 0 | 1000 | 0.00503707
0 | 8 | 1 | 1 | 0.030354
0 | 8 | 1 | 10 | 0.00739884
0 | 8 | 1 | 100 | 0.00533509
0 | 8 | 1 | 1000 | 0.00505495
0 | 8 | 2 | 1 | 0.005023
0 | 8 | 2 | 10 | 0.00500202
0 | 8 | 2 | 100 | 0.00493407
0 | 8 | 2 | 1000 | 0.00509095
0 | 16 | 0 | 1 | 0.00952816
0 | 16 | 0 | 10 | 0.00401998
0 | 16 | 0 | 100 | 0.00348997
0 | 16 | 0 | 1000 | 0.00314307
0 | 16 | 1 | 1 | 0.024003
0 | 16 | 1 | 10 | 0.00464606
0 | 16 | 1 | 100 | 0.00326991
0 | 16 | 1 | 1000 | 0.00351
0 | 16 | 2 | 1 | 0.00333405
0 | 16 | 2 | 10 | 0.00333309
0 | 16 | 2 | 100 | 0.00332904
0 | 16 | 2 | 1000 | 0.00311112
0 | 32 | 0 | 1 | 0.00556612
0 | 32 | 0 | 10 | 0.00352597
0 | 32 | 0 | 100 | 0.0026629
0 | 32 | 0 | 1000 | 0.002671
0 | 32 | 1 | 1 | 0.020695
0 | 32 | 1 | 10 | 0.00466108
0 | 32 | 1 | 100 | 0.0124602
0 | 32 | 1 | 1000 | 0.00368381
0 | 32 | 2 | 1 | 0.00332904
0 | 32 | 2 | 10 | 0.00233698
0 | 32 | 2 | 100 | 0.00295496
0 | 32 | 2 | 1000 | 0.00254893
0 | 64 | 0 | 1 | 0.0133591
0 | 64 | 0 | 10 | 0.0164289
0 | 64 | 0 | 100 | 0.011029
0 | 64 | 0 | 1000 | 0.0119579
0 | 64 | 1 | 1 | 0.028625
0 | 64 | 1 | 10 | 0.015578
0 | 64 | 1 | 100 | 0.037261
0 | 64 | 1 | 1000 | 0.0336978
0 | 64 | 2 | 1 | 0.0280211
0 | 64 | 2 | 10 | 0.0111361
0 | 64 | 2 | 100 | 0.0359011
0 | 64 | 2 | 1000 | 0.0293891
1 | 1 | -1 | -1 | 0.0209901
1 | 2 | 0 | 1 | 0.00851798
1 | 2 | 0 | 10 | 0.0079
1 | 2 | 0 | 100 | 0.00790405
1 | 2 | 0 | 1000 | 0.00818992
1 | 2 | 1 | 1 | 0.009305
1 | 2 | 1 | 10 | 0.00798512
1 | 2 | 1 | 100 | 0.0079
1 | 2 | 1 | 1000 | 0.00824809
1 | 2 | 2 | 1 | 0.00779819
1 | 2 | 2 | 10 | 0.00780416
1 | 2 | 2 | 100 | 0.00780678
1 | 2 | 2 | 1000 | 0.00828195
1 | 4 | 0 | 1 | 0.00529504
1 | 4 | 0 | 10 | 0.0044179
1 | 4 | 0 | 100 | 0.00446391
1 | 4 | 0 | 1000 | 0.00489593
1 | 4 | 1 | 1 | 0.00696397
1 | 4 | 1 | 10 | 0.00445914
1 | 4 | 1 | 100 | 0.004143
1 | 4 | 1 | 1000 | 0.00481009
1 | 4 | 2 | 1 | 0.00409603
1 | 4 | 2 | 10 | 0.00408387
1 | 4 | 2 | 100 | 0.00423193
1 | 4 | 2 | 1000 | 0.00495911
1 | 8 | 0 | 1 | 0.00283217
1 | 8 | 0 | 10 | 0.00229192
1 | 8 | 0 | 100 | 0.00225902
1 | 8 | 0 | 1000 | 0.00307798
1 | 8 | 1 | 1 | 0.00451183
1 | 8 | 1 | 10 | 0.00242496
1 | 8 | 1 | 100 | 0.00232983
1 | 8 | 1 | 1000 | 0.00304818
1 | 8 | 2 | 1 | 0.00223613
1 | 8 | 2 | 10 | 0.00223899
1 | 8 | 2 | 100 | 0.00218582
1 | 8 | 2 | 1000 | 0.00260115
1 | 16 | 0 | 1 | 0.0016439
1 | 16 | 0 | 10 | 0.001266
1 | 16 | 0 | 100 | 0.00131798
1 | 16 | 0 | 1000 | 0.00206494
1 | 16 | 1 | 1 | 0.00310993
1 | 16 | 1 | 10 | 0.001508
1 | 16 | 1 | 100 | 0.00140882
1 | 16 | 1 | 1000 | 0.00246501
1 | 16 | 2 | 1 | 0.0013051
1 | 16 | 2 | 10 | 0.00135899
1 | 16 | 2 | 100 | 0.00146317
1 | 16 | 2 | 1000 | 0.00228715
1 | 32 | 0 | 1 | 0.00167799
1 | 32 | 0 | 10 | 0.000767946
1 | 32 | 0 | 100 | 0.0007689
1 | 32 | 0 | 1000 | 0.00210118
1 | 32 | 1 | 1 | 0.00278401
1 | 32 | 1 | 10 | 0.00132012
1 | 32 | 1 | 100 | 0.00118899
1 | 32 | 1 | 1000 | 0.00244713
1 | 32 | 2 | 1 | 0.00127411
1 | 32 | 2 | 10 | 0.00124216
1 | 32 | 2 | 100 | 0.00228095
1 | 32 | 2 | 1000 | 0.00227594
1 | 64 | 0 | 1 | 0.00797701
1 | 64 | 0 | 10 | 0.000981092
1 | 64 | 0 | 100 | 0.0101252
1 | 64 | 0 | 1000 | 0.0115569
1 | 64 | 1 | 1 | 0.012059
1 | 64 | 1 | 10 | 0.023787
1 | 64 | 1 | 100 | 0.016988
1 | 64 | 1 | 1000 | 0.0094769
1 | 64 | 2 | 1 | 0.020066
1 | 64 | 2 | 10 | 0.0110362
1 | 64 | 2 | 100 | 0.0173252
1 | 64 | 2 | 1000 | 0.00947094
2 | 1 | -1 | -1 | 0.00924921
2 | 2 | 0 | 1 | 0.0039289
2 | 2 | 0 | 10 | 0.00364304
2 | 2 | 0 | 100 | 0.00372291
2 | 2 | 0 | 1000 | 0.00376296
2 | 2 | 1 | 1 | 0.00497794
2 | 2 | 1 | 10 | 0.00366902
2 | 2 | 1 | 100 | 0.0035398
2 | 2 | 1 | 1000 | 0.00360608
2 | 2 | 2 | 1 | 0.004493
2 | 2 | 2 | 10 | 0.00449896
2 | 2 | 2 | 100 | 0.004493
2 | 2 | 2 | 1000 | 0.00450897
2 | 4 | 0 | 1 | 0.00263214
2 | 4 | 0 | 10 | 0.00216198
2 | 4 | 0 | 100 | 0.00211096
2 | 4 | 0 | 1000 | 0.00213885
2 | 4 | 1 | 1 | 0.00498581
2 | 4 | 1 | 10 | 0.00218582
2 | 4 | 1 | 100 | 0.00192618
2 | 4 | 1 | 1000 | 0.00209594
2 | 4 | 2 | 1 | 0.00219893
2 | 4 | 2 | 10 | 0.00226498
2 | 4 | 2 | 100 | 0.00218987
2 | 4 | 2 | 1000 | 0.00215602
2 | 8 | 0 | 1 | 0.00148988
2 | 8 | 0 | 10 | 0.00118089
2 | 8 | 0 | 100 | 0.0012269
2 | 8 | 0 | 1000 | 0.00132585
2 | 8 | 1 | 1 | 0.00388718
2 | 8 | 1 | 10 | 0.00131083
2 | 8 | 1 | 100 | 0.00109887
2 | 8 | 1 | 1000 | 0.00111008
2 | 8 | 2 | 1 | 0.00128007
2 | 8 | 2 | 10 | 0.00127006
2 | 8 | 2 | 100 | 0.001266
2 | 8 | 2 | 1000 | 0.00122595
2 | 16 | 0 | 1 | 0.000891924
2 | 16 | 0 | 10 | 0.000756025
2 | 16 | 0 | 100 | 0.000782013
2 | 16 | 0 | 1000 | 0.000876904
2 | 16 | 1 | 1 | 0.00332189
2 | 16 | 1 | 10 | 0.000853062
2 | 16 | 1 | 100 | 0.000735998
2 | 16 | 1 | 1000 | 0.000751019
2 | 16 | 2 | 1 | 0.000882149
2 | 16 | 2 | 10 | 0.000873089
2 | 16 | 2 | 100 | 0.000830889
2 | 16 | 2 | 1000 | 0.000874996
2 | 32 | 0 | 1 | 0.000616074
2 | 32 | 0 | 10 | 0.00049305
2 | 32 | 0 | 100 | 0.000589132
2 | 32 | 0 | 1000 | 0.000642061
2 | 32 | 1 | 1 | 0.00287104
2 | 32 | 1 | 10 | 0.000735044
2 | 32 | 1 | 100 | 0.000637054
2 | 32 | 1 | 1000 | 0.000799894
2 | 32 | 2 | 1 | 0.000789881
2 | 32 | 2 | 10 | 0.000723124
2 | 32 | 2 | 100 | 0.000818968
2 | 32 | 2 | 1000 | 0.000810146
2 | 64 | 0 | 1 | 0.00538611
2 | 64 | 0 | 10 | 0.00986004
2 | 64 | 0 | 100 | 0.00988293
2 | 64 | 0 | 1000 | 0.00956607
2 | 64 | 1 | 1 | 0.00670695
2 | 64 | 1 | 10 | 0.00941992
2 | 64 | 1 | 100 | 0.0124311
2 | 64 | 1 | 1000 | 0.0094521
2 | 64 | 2 | 1 | 0.0012641
2 | 64 | 2 | 10 | 0.0101919
2 | 64 | 2 | 100 | 0.0100529
2 | 64 | 2 | 1000 | 0.00935793
3 | 1 | -1 | -1 | 0.00533891
3 | 2 | 0 | 1 | 0.00254011
3 | 2 | 0 | 10 | 0.00220799
3 | 2 | 0 | 100 | 0.00211906
3 | 2 | 0 | 1000 | 0.00216007
3 | 2 | 1 | 1 | 0.00317907
3 | 2 | 1 | 10 | 0.00228024
3 | 2 | 1 | 100 | 0.00215483
3 | 2 | 1 | 1000 | 0.00213313
3 | 2 | 2 | 1 | 0.00208998
3 | 2 | 2 | 10 | 0.00208783
3 | 2 | 2 | 100 | 0.00208211
3 | 2 | 2 | 1000 | 0.00208282
3 | 4 | 0 | 1 | 0.00177407
3 | 4 | 0 | 10 | 0.00131202
3 | 4 | 0 | 100 | 0.00116897
3 | 4 | 0 | 1000 | 0.00116301
3 | 4 | 1 | 1 | 0.00345993
3 | 4 | 1 | 10 | 0.00149107
3 | 4 | 1 | 100 | 0.00118589
3 | 4 | 1 | 1000 | 0.00117183
3 | 4 | 2 | 1 | 0.00114512
3 | 4 | 2 | 10 | 0.00113201
3 | 4 | 2 | 100 | 0.00116801
3 | 4 | 2 | 1000 | 0.00117707
3 | 8 | 0 | 1 | 0.00170898
3 | 8 | 0 | 10 | 0.000755072
3 | 8 | 0 | 100 | 0.000669956
3 | 8 | 0 | 1000 | 0.000703096
3 | 8 | 1 | 1 | 0.00321102
3 | 8 | 1 | 10 | 0.000852108
3 | 8 | 1 | 100 | 0.000666142
3 | 8 | 1 | 1000 | 0.000712156
3 | 8 | 2 | 1 | 0.000665903
3 | 8 | 2 | 10 | 0.000669956
3 | 8 | 2 | 100 | 0.000663042
3 | 8 | 2 | 1000 | 0.00072813
3 | 16 | 0 | 1 | 0.000895977
3 | 16 | 0 | 10 | 0.000443935
3 | 16 | 0 | 100 | 0.000411034
3 | 16 | 0 | 1000 | 0.000445843
3 | 16 | 1 | 1 | 0.00269389
3 | 16 | 1 | 10 | 0.000529051
3 | 16 | 1 | 100 | 0.000449896
3 | 16 | 1 | 1000 | 0.000500917
3 | 16 | 2 | 1 | 0.000407934
3 | 16 | 2 | 10 | 0.00041914
3 | 16 | 2 | 100 | 0.000516176
3 | 16 | 2 | 1000 | 0.000494003
3 | 32 | 0 | 1 | 0.000553846
3 | 32 | 0 | 10 | 0.000327826
3 | 32 | 0 | 100 | 0.00030303
3 | 32 | 0 | 1000 | 0.00040102
3 | 32 | 1 | 1 | 0.00214887
3 | 32 | 1 | 10 | 0.000432968
3 | 32 | 1 | 100 | 0.000432014
3 | 32 | 1 | 1000 | 0.000542164
3 | 32 | 2 | 1 | 0.0004282
3 | 32 | 2 | 10 | 0.000428915
3 | 32 | 2 | 100 | 0.000437975
3 | 32 | 2 | 1000 | 0.00049305
3 | 64 | 0 | 1 | 0.00998306
3 | 64 | 0 | 10 | 0.000429869
3 | 64 | 0 | 100 | 0.00969601
3 | 64 | 0 | 1000 | 0.00930595
3 | 64 | 1 | 1 | 0.010818
3 | 64 | 1 | 10 | 0.00179887
3 | 64 | 1 | 100 | 0.0111969
3 | 64 | 1 | 1000 | 0.000479221
3 | 64 | 2 | 1 | 0.0102081
3 | 64 | 2 | 10 | 0.010217
3 | 64 | 2 | 100 | 0.0108061
3 | 64 | 2 | 1000 | 0.00947499
4 | 1 | -1 | -1 | 0.00330091
4 | 2 | 0 | 1 | 0.00263906
4 | 2 | 0 | 10 | 0.00191617
4 | 2 | 0 | 100 | 0.00179482
4 | 2 | 0 | 1000 | 0.00171995
4 | 2 | 1 | 1 | 0.00824308
4 | 2 | 1 | 10 | 0.0024159
4 | 2 | 1 | 100 | 0.00186181
4 | 2 | 1 | 1000 | 0.00172496
4 | 2 | 2 | 1 | 0.00184894
4 | 2 | 2 | 10 | 0.00183201
4 | 2 | 2 | 100 | 0.00185299
4 | 2 | 2 | 1000 | 0.00183392
4 | 4 | 0 | 1 | 0.0020771
4 | 4 | 0 | 10 | 0.00181699
4 | 4 | 0 | 100 | 0.00145912
4 | 4 | 0 | 1000 | 0.00125694
4 | 4 | 1 | 1 | 0.016068
4 | 4 | 1 | 10 | 0.00296211
4 | 4 | 1 | 100 | 0.00150299
4 | 4 | 1 | 1000 | 0.00125909
4 | 4 | 2 | 1 | 0.00144005
4 | 4 | 2 | 10 | 0.001513
4 | 4 | 2 | 100 | 0.00153708
4 | 4 | 2 | 1000 | 0.00146103
4 | 8 | 0 | 1 | 0.00145292
4 | 8 | 0 | 10 | 0.00146985
4 | 8 | 0 | 100 | 0.00111794
4 | 8 | 0 | 1000 | 0.000998974
4 | 8 | 1 | 1 | 0.0156748
4 | 8 | 1 | 10 | 0.00258803
4 | 8 | 1 | 100 | 0.00108886
4 | 8 | 1 | 1000 | 0.00100803
4 | 8 | 2 | 1 | 0.00118017
4 | 8 | 2 | 10 | 0.00116897
4 | 8 | 2 | 100 | 0.00138712
4 | 8 | 2 | 1000 | 0.00121593
4 | 16 | 0 | 1 | 0.0011909
4 | 16 | 0 | 10 | 0.00122714
4 | 16 | 0 | 100 | 0.000888824
4 | 16 | 0 | 1000 | 0.000848055
4 | 16 | 1 | 1 | 0.0122931
4 | 16 | 1 | 10 | 0.00212407
4 | 16 | 1 | 100 | 0.000913143
4 | 16 | 1 | 1000 | 0.000825882
4 | 16 | 2 | 1 | 0.000998974
4 | 16 | 2 | 10 | 0.000991106
4 | 16 | 2 | 100 | 0.000974894
4 | 16 | 2 | 1000 | 0.000963926
4 | 32 | 0 | 1 | 0.00106311
4 | 32 | 0 | 10 | 0.000967979
4 | 32 | 0 | 100 | 0.000795126
4 | 32 | 0 | 1000 | 0.00084281
4 | 32 | 1 | 1 | 0.011596
4 | 32 | 1 | 10 | 0.00194788
4 | 32 | 1 | 100 | 0.000898838
4 | 32 | 1 | 1000 | 0.000884056
4 | 32 | 2 | 1 | 0.000868082
4 | 32 | 2 | 10 | 0.000936031
4 | 32 | 2 | 100 | 0.000945091
4 | 32 | 2 | 1000 | 0.000947952
4 | 64 | 0 | 1 | 0.010061
4 | 64 | 0 | 10 | 0.00971699
4 | 64 | 0 | 100 | 0.0139
4 | 64 | 0 | 1000 | 0.010474
4 | 64 | 1 | 1 | 0.016983
4 | 64 | 1 | 10 | 0.010402
4 | 64 | 1 | 100 | 0.00950503
4 | 64 | 1 | 1000 | 0.0103378
4 | 64 | 2 | 1 | 0.00522113
4 | 64 | 2 | 10 | 0.0100231
4 | 64 | 2 | 100 | 0.00137186
4 | 64 | 2 | 1000 | 0.00824881
